T	η
233.0	8.960414394654
234.0	8.996549444720548
235.0	9.031881591409075
236.0	9.06649908758797
237.0	9.100492767002489
238.0	9.133955914863828
239.0	9.16698415527695
240.0	9.19969737711051
241.0	9.232637032803241
242.0	9.265952278247527
243.0	9.299577429300172
244.0	9.333445421642063
245.0	9.367487763699382
246.0	9.401634499124768
247.0	9.435775969174628
248.0	9.469530937315415
249.0	9.502870410550534
250.0	9.535861124217995
251.0	9.56857131846379
252.0	9.601070698074546
253.0	9.633430401850056
254.0	9.66579640826749
255.0	9.698548244137074
256.0	9.73167065289303
257.0	9.765093096562751
258.0	9.798743638887238
259.0	9.832548899668625
260.0	9.86643401964228
261.0	9.900201994901531
262.0	9.933495483278927
263.0	9.966358252855695
264.0	9.998859908273014
265.0	10.03107151953475
266.0	10.063065580088585
267.0	10.094915974801467
268.0	10.126875072075745
269.0	10.15924971789124
270.0	10.191986560133982
271.0	10.225025146286796
272.0	10.258303898644723
273.0	10.291760076370343
274.0	10.325329744871134
275.0	10.358735405817033
276.0	10.391755926682208
277.0	10.424411409075024
278.0	10.45672247332378
279.0	10.488710245059456
280.0	10.520396342439161
281.0	10.551802864069275
282.0	10.582952377685444
283.0	10.61386790964474
284.0	10.644572935283646
285.0	10.675091370194046
286.0	10.705447562467768
287.0	10.735666285958969
288.0	10.765789104366858
289.0	10.796087597821147
290.0	10.826636480629098
291.0	10.857417518171864
292.0	10.888412181939696
293.0	10.919601640389294
294.0	10.95096675039273
295.0	10.982488049300882
296.0	11.01414574764542
297.0	11.04591972250495
298.0	11.077789511561928
299.0	11.109734307878036
300.0	11.141732955416916
301.0	11.173763945343865
302.0	11.205752533986502
303.0	11.23747444258703
304.0	11.26891894885774
305.0	11.300100086841569
306.0	11.331032189215964
307.0	11.36172988122896
308.0	11.392208074933697
309.0	11.422481963742365
310.0	11.452567017320204
311.0	11.482478976839449
312.0	11.512233850612915
313.0	11.54184791012624
314.0	11.571337686487436
315.0	11.600719967312225
316.0	11.63010940236026
317.0	11.659649555789345
318.0	11.689332484970956
319.0	11.719148862342465
320.0	11.749089221448447
321.0	11.779143954287736
322.0	11.80930330880314
323.0	11.839557386519076
324.0	11.869896140332452
325.0	11.900309372462381
326.0	11.930786732564455
327.0	11.961317716015454
328.0	11.991891662374584
329.0	12.022494718036043
330.0	12.053018416857975
331.0	12.08341316390741
332.0	12.11367915620306
333.0	12.14381661783345
334.0	12.173825799890183
335.0	12.203706980395946
336.0	12.233460464227464
337.0	12.263086583033427
338.0	12.29258569514762
339.0	12.321958185497248
340.0	12.351204465506747
341.0	12.38032497299704
342.0	12.409320172080497
343.0	12.438193674639763
344.0	12.466967128763565
345.0	12.495650376461533
346.0	12.524250504108744
347.0	12.552774697959755
348.0	12.581230243484516
349.0	12.609624524781774
350.0	12.637965024072672
351.0	12.666259321277186
352.0	12.694515093676282
353.0	12.722740115662289
354.0	12.75094225858043
355.0	12.779129490663998
356.0	12.807309877065986
357.0	12.83552618944099
358.0	12.863848961065049
359.0	12.892271823255253
360.0	12.920786023407043
361.0	12.949382698194434
362.0	12.978052872027636
363.0	13.006787455628311
364.0	13.035577244726076
365.0	13.064412918879757
366.0	13.0932850404271
367.0	13.122184053566691
368.0	13.151100283575943
369.0	13.180023936168967
370.0	13.20894441978874
371.0	13.237774837227498
372.0	13.266463328605798
373.0	13.295014996730067
374.0	13.323435025300665
375.0	13.351728677982086
376.0	13.379901297505464
377.0	13.40795830480508
378.0	13.43590519819062
379.0	13.463747552556804
380.0	13.491491018632194
381.0	13.519141322268617
382.0	13.546704263773105
383.0	13.57418571728369
384.0	13.60159876295949
385.0	13.629011818555332
386.0	13.656436661230723
387.0	13.6838683105381
388.0	13.711301730776528
389.0	13.738731830828524
390.0	13.766153464034627
391.0	13.793561428106576
392.0	13.820950465080081
393.0	13.848315261307988
394.0	13.87565044749494
395.0	13.902950598774268
396.0	13.930210234828198
397.0	13.957423820052192
398.0	13.984569043752684
399.0	14.011598457163188
400.0	14.038516982331261
401.0	14.065332915573421
402.0	14.092054649407352
403.0	14.11869067156235
404.0	14.14524956408498
405.0	14.171740002542716
406.0	14.19817075532827
407.0	14.224550683067278
408.0	14.250888738131897
409.0	14.277193964263077
410.0	14.303475496303937
411.0	14.32974256004699
412.0	14.356065460267333
413.0	14.382500945210426
414.0	14.409037891014435
415.0	14.435665061550793
416.0	14.462371106628353
417.0	14.489144560369384
418.0	14.515973839761424
419.0	14.542847243388971
420.0	14.569752950349201
421.0	14.596679019355955
422.0	14.623613388036249
423.0	14.650543872423814
424.0	14.677458166653997
425.0	14.704336379959976
426.0	14.731055272717642
427.0	14.757584673567875
428.0	14.783937225214878
429.0	14.810125714770635
430.0	14.83616307099598
431.0	14.862062361750725
432.0	14.887836791659023
433.0	14.91349969999594
434.0	14.939064558801126
435.0	14.964544971225148
436.0	14.989954670114239
437.0	15.015307516838732
438.0	15.040617500370756
439.0	15.065933112785979
440.0	15.091397722533031
441.0	15.117013007468831
442.0	15.142764480238831
443.0	15.168637522519107
444.0	15.194617382176478
445.0	15.220689170705826
446.0	15.246837860950144
447.0	15.273048285109173
448.0	15.299305133042544
449.0	15.325592950873647
450.0	15.35189613990053
451.0	15.378198955820197
452.0	15.40448550827292
453.0	15.430655371342134
454.0	15.456588151094461
455.0	15.482297769035378
456.0	15.507799404520291
457.0	15.5331083972266
458.0	15.558240243360475
459.0	15.583210592152705
460.0	15.608035242651418
461.0	15.63273014081922
462.0	15.657311376941994
463.0	15.681795183356579
464.0	15.706197932503999
465.0	15.730536135315177
466.0	15.754831058263864
467.0	15.7792449081406
468.0	15.80384241583946
469.0	15.828611233230168
470.0	15.853538914558863
471.0	15.878612913551425
472.0	15.90382058070726
473.0	15.92914916078663
474.0	15.954585790494914
475.0	15.980117496367447
476.0	16.00573119285846
477.0	16.031413680638156
478.0	16.057151645101776
479.0	16.082931655094857
480.0	16.108716946824078
481.0	16.13436227554177
482.0	16.159850451354743
483.0	16.18518842670745
484.0	16.21038322718749
485.0	16.235441950319945
486.0	16.260371764417258
487.0	16.28517990748621
488.0	16.3098736861938
489.0	16.334460474893376
490.0	16.358947714712766
491.0	16.383342912705725
492.0	16.407653641068322
493.0	16.431887536421616
494.0	16.456086874353325
495.0	16.48032459166922
496.0	16.504599324761116
497.0	16.52890744456406
498.0	16.55324529276743
499.0	16.577609181618243
500.0	16.60199539374047
501.0	16.626400181970688
502.0	16.650819769210273
503.0	16.675250348294497
504.0	16.69968808187883
505.0	16.72412910234269
506.0	16.74856951171103
507.0	16.77300511254656
508.0	16.79740138302808
509.0	16.821737639817925
510.0	16.84601579978234
511.0	16.870237797285125
512.0	16.894405584080463
513.0	16.918521129209573
514.0	16.942586418901513
515.0	16.96660345647793
516.0	16.990574262262193
517.0	17.01450087349276
518.0	17.03838534424093
519.0	17.06222974533321
520.0	17.0860361642782
521.0	17.10980918968336
522.0	17.133573287144063
523.0	17.157334344772508
524.0	17.181092545192243
525.0	17.204848072089053
526.0	17.228601110213614
527.0	17.252351845384123
528.0	17.276100464489048
529.0	17.299847155489786
530.0	17.32359210742343
531.0	17.347335510405546
532.0	17.371077555632965
533.0	17.394818435386608
534.0	17.418558343034366
535.0	17.44229793178925
536.0	17.46603754223168
537.0	17.48977502249308
538.0	17.51350808324163
539.0	17.53723441867868
540.0	17.560951706526364
541.0	17.58465760802132
542.0	17.608349767914753
543.0	17.632025814478844
544.0	17.655683359519678
545.0	17.679319998396725
546.0	17.702933310048977
547.0	17.726520857027882
548.0	17.750080185537126
549.0	17.773593471324958
550.0	17.7970462293994
551.0	17.820441017757293
552.0	17.843780414464394
553.0	17.867067017518732
554.0	17.890303444720985
555.0	17.91349233355193
556.0	17.93663634105707
557.0	17.95973814373876
558.0	17.982800437455683
559.0	18.005825937330094
560.0	18.02881737766276
561.0	18.051777511855864
562.0	18.07471087717036
563.0	18.097646791898207
564.0	18.120593363200577
565.0	18.143548695933987
566.0	18.16651088199716
567.0	18.18947800029359
568.0	18.212448116698233
569.0	18.23541928402815
570.0	18.258389542017458
571.0	18.2813569172964
572.0	18.304319423374714
573.0	18.327275060629386
574.0	18.350221816296724
575.0	18.373157664468945
576.0	18.39607575729512
577.0	18.418956027571436
578.0	18.44179829073348
579.0	18.464604623189764
580.0	18.487377115728165
581.0	18.51011787345867
582.0	18.532829015760672
583.0	18.555512676234766
584.0	18.57817100265933
585.0	18.600806156951855
586.0	18.62342031513499
587.0	18.646015667307598
588.0	18.668594417620756
589.0	18.691158784258743
590.0	18.71372295436821
591.0	18.736303431213756
592.0	18.758897357954577
593.0	18.781501702089905
594.0	18.804113411704
595.0	18.826729415406767
596.0	18.849346622284248
597.0	18.871961921859317
598.0	18.89457218406255
599.0	18.91717425921355
600.0	18.939764978012754
